"seller","day_of_week","income"
Abraham Bennet,sunday   ,232328748
Reginald Blotchet-Halls,sunday   ,80496472
Cheryl Carson,sunday   ,69553595
Michel DeFrance,sunday   ,438321488
Innes del Castillo,sunday   ,244679491
Ann Dull,sunday   ,34138287
Marjorie Green,sunday   ,104815534
Morningstar Greene,sunday   ,68473053
Burt Gringlesby,sunday   ,112782280
Sheryl Hunter,sunday   ,148514539
Livia Karsen,sunday   ,137975384
Charlene Locksley,sunday   ,93745116
Stearns MacFeather,sunday   ,27431434
Heather McBadden,sunday   ,266458384
Michael O'Leary,sunday   ,125981634
Sylvia Panteley,sunday   ,95337213
Albert Ringer,sunday   ,362985486
Anne Ringer,sunday   ,49050828
Meander Smith,sunday   ,56678279
Dean Straight,sunday   ,176873005
Dirk Stringer,sunday   ,698820601
Johnson White,sunday   ,88933984
Abraham Bennet,monday   ,231845241
Reginald Blotchet-Halls,monday   ,103178571
Cheryl Carson,monday   ,77977656
Michel DeFrance,monday   ,479584920
Innes del Castillo,monday   ,260992756
Ann Dull,monday   ,39656842
Marjorie Green,monday   ,97539868
Morningstar Greene,monday   ,67381290
Burt Gringlesby,monday   ,118429815
Sheryl Hunter,monday   ,153301531
Livia Karsen,monday   ,132386625
Charlene Locksley,monday   ,108450662
Stearns MacFeather,monday   ,30778276
Heather McBadden,monday   ,293014643
Michael O'Leary,monday   ,138096277
Sylvia Panteley,monday   ,96399427
Albert Ringer,monday   ,392378037
Anne Ringer,monday   ,53386960
Meander Smith,monday   ,52160238
Dean Straight,monday   ,192550177
Dirk Stringer,monday   ,759341454
Johnson White,monday   ,98560781
Abraham Bennet,tuesday  ,259058032
Reginald Blotchet-Halls,tuesday  ,89298153
Cheryl Carson,tuesday  ,76905547
Michel DeFrance,tuesday  ,467420386
Innes del Castillo,tuesday  ,285473369
Ann Dull,tuesday  ,38097807
Marjorie Green,tuesday  ,102488970
Morningstar Greene,tuesday  ,67737440
Burt Gringlesby,tuesday  ,114454017
Sheryl Hunter,tuesday  ,163754750
Livia Karsen,tuesday  ,145696077
Charlene Locksley,tuesday  ,102419645
Stearns MacFeather,tuesday  ,31056505
Heather McBadden,tuesday  ,267891418
Michael O'Leary,tuesday  ,125258270
Sylvia Panteley,tuesday  ,99289901
Albert Ringer,tuesday  ,419021705
Anne Ringer,tuesday  ,55417862
Meander Smith,tuesday  ,63913954
Dean Straight,tuesday  ,183459091
